data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.2,1.0,0.05405405405405406,2,10
20,0.26666666666666666,0.7857142857142857,0.022727272727272728,5,15
30,0.35135135135135137,0.96,0.03170731707317073,14,37
40,0.3387096774193548,0.9318181818181818,0.028532608695652172,23,62
50,0.5714285714285714,0.9807692307692307,0.057971014492753624,69,119
60,0.5971223021582733,0.9824561403508771,0.04845300642148278,83,139
70,0.6459627329192547,0.9344262295081968,0.044180118946474084,107,161
80,0.6590038314176245,0.9175257731958762,0.056154097290238326,179,261
90,0.7342192691029901,0.8695652173913043,0.05647840531561462,231,301
100,0.7385057471264368,0.91,0.05298969072164948,266,348
